timeest,temperaturec,dewpointc,humidity,sealevelpressurehpa,visibilitykm,winddirection,windspeedkmh,gustspeedkmh,precipitationmm,events,conditions,winddirdegrees,dateutc
1:51 AM,-5.6,-12.2,60,1012.3,16.1,South,7.4,0,0.0,,Overcast,180,2012-01-05 06:51:00
2:51 AM,-5.0,-12.2,58,1011.9,16.1,South,7.4,0,0.0,,Overcast,170,2012-01-05 07:51:00
3:51 AM,-5.0,-11.7,60,1011.2,16.1,South,13.0,0,0.0,,Overcast,170,2012-01-05 08:51:00
4:51 AM,-5.0,-11.1,63,1011.1,16.1,South,9.3,0,0.0,,Overcast,170,2012-01-05 09:51:00
5:51 AM,-4.4,-11.1,60,1011.2,16.1,South,9.3,0,0.0,Snow,Light Snow,180,2012-01-05 10:51:00
6:40 AM,-4.0,-11.0,59,1010.4,16.1,South,11.1,0,0.0,Snow,Light Snow,170,2012-01-05 11:40:00
6:51 AM,-4.4,-11.1,60,1010.7,16.1,South,11.1,0,0.0,Snow,Light Snow,170,2012-01-05 11:51:00
6:59 AM,-4.0,-11.0,59,1010.0,16.1,South,13.0,0,0.0,Snow,Light Snow,170,2012-01-05 11:59:00
7:51 AM,-4.4,-10.6,62,1011.2,16.1,South,9.3,0,0.0,Snow,Light Snow,170,2012-01-05 12:51:00
8:34 AM,-4.0,-10.0,64,1010.7,4.8,SSE,14.8,0,0.0,Snow,Light Snow,160,2012-01-05 13:34:00
8:51 AM,-4.0,-9.0,69,1011.1,4.8,SSE,14.8,0,0.0,Snow,Light Snow,160,2012-01-05 13:51:00
9:07 AM,-4.0,-9.0,69,1010.7,4.0,South,13.0,0,0.0,Snow,Light Snow,170,2012-01-05 14:07:00
9:32 AM,-4.0,-8.0,74,1010.7,2.8,South,11.1,0,0.0,Snow,Light Snow,170,2012-01-05 14:32:00
9:51 AM,-3.9,-7.2,78,1011.0,2.8,South,13.0,0,0.0,Snow,Light Snow,170,2012-01-05 14:51:00
9:56 AM,-4.0,-7.0,80,1010.4,4.0,South,13.0,0,0.0,Snow,Light Snow,170,2012-01-05 14:56:00
10:06 AM,-4.0,-7.0,80,1010.4,4.8,SSE,13.0,0,0.0,Snow,Light Snow,160,2012-01-05 15:06:00
10:51 AM,-2.2,-7.2,69,1009.8,12.9,South,13.0,0,0.0,Snow,Light Snow,180,2012-01-05 15:51:00
